registered,Recency,Frequency,Monetary
4181,495,1,5130
4185,335,1,4509
4186,459,1,4839
4196,536,1,5084
4220,535,1,5538
4224,128,2,12412
4232,184,2,10655
4238,586,1,4978
4240,30,2,9986
4267,453,1,4826
4275,334,1,4579
4280,16,1,5047
4286,260,1,7132
4316,44,1,5629
4324,90,1,4639
4332,487,1,5115
4340,190,1,6891
4344,197,1,6978
4362,141,1,6544
4370,488,1,5058
4372,458,1,5202
4373,14,1,4585
4374,204,1,6598
4377,551,1,5225
4379,313,1,4773
4380,264,1,4862
4387,240,1,6883
4411,565,1,5180
4414,577,1,5312
4419,114,1,5976
4425,225,1,7129
4429,23,2,10786
4444,155,1,6597
4446,51,2,11635
4451,156,1,6685
4460,294,1,5298
4479,149,1,6824
4484,299,1,4916
4488,550,1,5515
4490,230,1,5115
4494,222,1,5260
4495,202,1,4972
4531,40,1,5146
4546,312,1,5062
4551,249,1,5026
4559,78,1,6639
4562,50,1,6852
4571,279,1,5102
4604,84,1,5478
4614,170,2,12864
4634,185,1,5463
4653,269,1,6460
4659,24,1,5008
4663,276,1,5459
4665,261,2,12450
4671,73,1,5424
4680,266,1,5585
4681,289,1,7836
4692,71,1,6824
4709,54,1,5035
4721,143,1,5786
4728,273,1,5936
4739,198,1,7702
4746,263,1,5409
4750,35,1,5087
4763,280,1,5558
4790,205,1,7498
4801,191,1,7458
4807,233,1,7429
4836,179,1,6241
4841,21,3,18780
4857,79,1,7109
4859,192,1,5823
4863,216,1,5743
4866,162,1,7410
4874,92,1,6889
4881,56,1,5259
4884,226,1,8294
4896,298,1,5382
4907,245,1,5572
4914,166,1,5713
4934,12,2,13232
4975,53,1,5315
4990,237,1,5728
5009,19,1,5319
5024,278,1,5698
5035,25,1,5375
5038,135,1,7865
5042,286,1,6093
5050,42,1,5499
5062,33,1,5260
5080,32,1,5323
5085,293,1,5847
5087,244,1,5740
5099,265,1,5918
5100,41,1,5634
5107,18,1,5532
5108,285,1,6230
5115,77,2,11508
5122,47,1,5495
5123,164,1,5870
5124,13,1,5557
5125,46,1,5445
5127,193,1,5905
5146,262,1,6398
5147,61,2,13207
5167,106,1,7333
5171,287,1,6153
5172,49,2,12639
5182,17,1,5611
5187,291,1,6192
5209,65,1,7852
5214,45,1,5698
5219,20,2,11734
5220,55,1,5686
5227,241,1,6296
5229,59,1,5847
5254,223,1,6073
5265,238,2,12730
5283,52,1,5992
5284,72,1,8090
5299,277,1,6133
5306,31,1,5668
5315,292,1,6312
5317,220,1,6734
5323,182,1,6227
5325,212,1,8120
5336,174,1,6290
5339,194,1,6211
5378,271,1,6436
5398,26,1,5729
5424,272,1,6772
5453,99,1,7907
5502,243,1,6169
5504,133,1,6530
5520,60,1,5986
5537,284,1,6871
5541,250,1,6196
5546,235,1,6572
5554,107,1,8714
5571,175,1,6569
5592,116,1,6203
5608,181,1,6660
5640,189,1,6779
5645,157,1,6904
5647,203,1,6664
5656,139,1,6784
5657,113,2,14648
5665,136,1,7148
5676,140,1,6883
5679,28,1,6234
5702,258,1,6691
5703,165,1,6591
5711,221,2,13800
5719,256,1,6565
5742,168,1,6830
5780,147,1,7013
5791,83,1,6392
5825,158,1,6861
5831,161,1,6966
5847,105,2,14044
5857,195,1,6825
5865,167,1,6786
5883,100,1,8395
5893,283,1,8362
5917,122,1,7350
5925,132,1,7006
5927,210,1,6998
5928,126,1,6917
5950,255,1,7290
5958,186,1,6879
5966,93,1,8555
5988,171,1,7499
5995,146,1,7273
5997,118,1,6864
6015,91,1,6778
6028,208,1,7055
6033,209,1,7001
6055,27,1,6606
6065,154,1,7105
6090,144,1,7286
6102,199,1,7665
6105,125,1,7040
6110,215,1,6855
6118,227,1,7639
6142,228,1,7384
6149,138,1,7347
6183,200,1,7363
6222,80,1,7282
6228,70,1,7058
6238,214,1,7338
6248,153,3,22373
6257,129,1,7582
6258,187,1,7335
6262,66,1,7444
6267,137,1,7605
6271,145,1,7534
6278,151,1,7261
6280,117,1,7112
6281,131,1,7375
6289,173,1,7264
6365,188,1,7442
6370,94,1,7415
6402,130,1,7765
6407,112,1,7525
6414,172,1,7446
6433,229,1,7424
6435,98,1,7436
6437,88,1,7328
6452,160,1,7592
6456,207,1,7494
6459,115,1,7504
6482,75,1,7461
6484,67,1,7359
6501,74,1,7509
6506,152,1,7580
6520,124,1,7697
6541,123,1,7713
6612,76,1,7534
6625,69,1,7466
6630,108,1,8009
6640,87,1,8156
6642,95,1,7393
6693,97,1,7538
6697,111,1,7767
6736,81,1,7570
6750,109,1,7804
6781,102,1,7720
6790,159,1,8173
6803,103,1,7591
6820,110,1,7870
6844,89,1,7572
6898,68,1,7693
6911,82,1,7691
6917,101,1,8167
6946,96,1,7733
